employee_id,gender,job_class,job_grade,role_level,role_level_encoded,division,location,tenure_years,performance,salary
CNF0057,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,5,65.2,71500.0
CNF0058,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,9,64.8,85100.0
CNF0059,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,16,56.3,84800.0
CNF0060,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,4,42.6,99900.0
CNF0061,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,1,60.6,91800.0
CNF0062,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,72.7,71300.0
CNF0063,Male,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,8,51.1,144500.0
CNF0064,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,4,70.2,96500.0
CNF0065,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,96.6,78300.0
CNF0066,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,7,84.3,111900.0
CNF0067,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,6,93.0,73900.0
CNF0068,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,8,75.5,172700.0
CNF0069,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,86.3,66400.0
CNF0070,Female,Vice President — Banking,Grade 7,VP,5,Retail Banking,Toronto,6,59.9,179800.0
CNF0071,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Vancouver,9,61.0,124300.0
CNF0072,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,31.7,67300.0
CNF0073,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Vancouver,5,86.6,75300.0
CNF0074,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,1,91.6,176900.0
CNF0075,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,15,62.3,103700.0
CNF0076,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,0,66.4,120200.0
CNF0077,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,4,59.4,112400.0
CNF0078,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,75.4,65100.0
CNF0079,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,6,85.7,98800.0
CNF0080,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,45.6,57500.0
CNF0081,Male,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,1,75.7,147700.0
CNF0082,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,3,66.1,111800.0
CNF0083,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,12,71.6,121200.0
CNF0084,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,1,76.4,71100.0
CNF0085,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,0,67.4,77700.0
CNF0086,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,7,68.5,94700.0
CNF0087,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,3,67.0,125400.0
CNF0088,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,12,83.6,137000.0
CNF0089,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,0,75.9,153900.0
CNF0090,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,5,73.1,99300.0
CNF0091,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,1,52.2,59900.0
CNF0092,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,0,64.7,124000.0
CNF0093,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,5,82.6,112400.0
CNF0094,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,4,70.5,84300.0
CNF0095,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,7,79.2,132600.0
CNF0096,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,1,94.7,97900.0
CNF0097,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,2,84.5,108100.0
CNF0098,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,2,71.3,103300.0
CNF0099,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,20,62.8,96900.0
CNF0100,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,1,34.3,46600.0
CNF0101,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,67.6,70700.0
CNF0102,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,2,65.4,112700.0
CNF0103,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,4,75.5,89000.0
CNF0104,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,1,67.8,79900.0
CNF0105,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,12,65.5,158700.0
CNF0106,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,45.1,73700.0
CNF0107,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,11,56.8,115500.0
CNF0108,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,0,76.7,119900.0
CNF0109,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,5,94.0,88100.0
CNF0110,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,11,68.6,70300.0
CNF0111,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,74.6,55100.0
CNF0112,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,17,83.3,94500.0
CNF0113,Male,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,3,58.6,142800.0
CNF0114,Female,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,14,75.1,169800.0
CNF0115,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,5,59.6,110400.0
CNF0116,Male,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,1,82.1,155000.0
CNF0117,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,1,72.1,147000.0
CNF0118,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,1,74.2,58500.0
CNF0119,Male,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,0,59.0,153000.0
CNF0120,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,0,79.9,93000.0
CNF0121,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,0,99.2,154500.0
CNF0122,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,2,55.9,124400.0
CNF0123,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,7,65.2,104000.0
CNF0124,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,73.2,62700.0
CNF0125,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,81.0,78900.0
CNF0126,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,5,62.2,98600.0
CNF0127,Male,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,1,30.3,129200.0
CNF0128,Female,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,0,89.0,140800.0
CNF0129,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,0,80.6,66300.0
CNF0130,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,12,45.6,93700.0
CNF0131,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,8,61.5,87500.0
CNF0132,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,2,92.0,86400.0
CNF0133,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,5,90.3,85400.0
CNF0134,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,3,83.1,95400.0
CNF0135,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,5,67.5,200300.0
CNF0136,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,5,71.2,106400.0
CNF0137,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,4,68.2,80800.0
CNF0138,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,1,85.8,122100.0
CNF0139,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,0,57.7,88600.0
CNF0140,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,3,58.7,196100.0
CNF0141,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,11,84.1,222100.0
CNF0142,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,4,69.4,80200.0
CNF0143,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,8,89.3,98400.0
CNF0144,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,23,60.6,102500.0
CNF0145,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,0,69.2,56800.0
CNF0146,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,5,57.1,84900.0
CNF0147,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,5,70.1,102800.0
CNF0148,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,19,49.3,96800.0
CNF0149,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,21,63.2,86600.0
CNF0150,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,5,49.9,70900.0
CNF0151,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,1,79.7,138400.0
CNF0152,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,8,80.0,83900.0
CNF0153,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,0,45.8,49400.0
CNF0154,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,7,88.7,95200.0
CNF0155,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Vancouver,12,100.0,208500.0
CNF0156,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,2,70.6,59700.0
CNF0157,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,4,61.0,133600.0
CNF0158,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Vancouver,2,100.0,131100.0
CNF0159,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,2,51.5,48200.0
CNF0160,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Calgary,1,70.3,113000.0
CNF0161,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,7,72.5,101800.0
CNF0162,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,13,88.8,134500.0
CNF0163,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,14,75.0,127900.0
CNF0164,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,0,63.0,74100.0
CNF0165,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Vancouver,10,56.7,75900.0
CNF0166,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,6,65.2,153000.0
CNF0167,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,1,55.9,97000.0
CNF0168,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,70.7,81600.0
CNF0169,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,62.1,73800.0
CNF0170,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,12,49.1,124900.0
CNF0171,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,5,87.6,130500.0
CNF0172,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,6,63.0,70400.0
CNF0173,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,1,52.2,90300.0
CNF0174,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,6,67.6,70900.0
CNF0175,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,71.0,117000.0
CNF0176,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,2,45.5,69700.0
CNF0177,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,4,74.6,119300.0
CNF0178,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,0,55.3,95100.0
CNF0179,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,8,94.0,216600.0
CNF0180,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,77.3,96900.0
CNF0181,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,5,64.4,98500.0
CNF0182,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,2,59.6,72500.0
CNF0183,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,4,68.5,143100.0
CNF0184,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,0,78.6,150400.0
CNF0185,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,69.6,57000.0
CNF0186,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,12,67.0,123500.0
CNF0187,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,1,70.8,152600.0
CNF0188,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,8,61.5,104400.0
CNF0189,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,25,65.2,114200.0
CNF0190,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,40.8,58700.0
CNF0191,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,83.6,82100.0
CNF0192,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,5,74.2,144800.0
CNF0193,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,16,59.2,154600.0
CNF0194,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,12,96.6,130600.0
CNF0195,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,3,71.2,97400.0
CNF0196,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Vancouver,7,55.5,95500.0
CNF0197,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,82.0,113900.0
CNF0198,Male,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,18,75.6,172400.0
CNF0199,Male,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,16,75.5,169900.0
CNF0200,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Vancouver,0,64.0,99000.0
CNF0201,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,1,76.3,118400.0
CNF0202,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,0,66.3,69100.0
CNF0203,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,1,77.8,81200.0
CNF0204,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,8,43.3,161800.0
CNF0205,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,2,63.9,101400.0
CNF0206,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,0,94.1,71300.0
CNF0207,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Vancouver,2,59.3,64100.0
CNF0208,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,19,61.5,130500.0
CNF0209,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,4,63.7,73500.0
CNF0210,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,2,53.0,92000.0
CNF0211,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,0,39.1,77600.0
CNF0212,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,21,66.8,151000.0
CNF0213,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,8,71.9,132700.0
CNF0214,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,1,69.3,69200.0
CNF0215,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,0,68.0,109400.0
CNF0216,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,70.6,82800.0
CNF0217,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Calgary,0,84.3,82400.0
CNF0218,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,4,67.3,126200.0
CNF0219,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,13,62.0,132000.0
CNF0220,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Calgary,3,66.1,158600.0
CNF0221,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,9,78.1,150500.0
CNF0222,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,2,89.8,82500.0
CNF0223,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,6,61.2,77300.0
CNF0224,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,6,71.4,77100.0
CNF0225,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,74.7,68800.0
CNF0226,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,2,56.1,83000.0
CNF0227,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Vancouver,5,70.3,200200.0
CNF0228,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,0,49.5,81400.0
CNF0229,Male,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,2,45.2,137300.0
CNF0230,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Calgary,3,75.1,123800.0
CNF0231,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,25,64.6,123200.0
CNF0232,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,3,72.8,90300.0
CNF0233,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,8,69.7,105000.0
CNF0234,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,2,56.3,73100.0
CNF0235,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,7,69.4,86400.0
CNF0236,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,4,52.7,118300.0
CNF0237,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,10,89.5,84500.0
CNF0238,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Vancouver,2,51.0,59300.0
CNF0239,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Toronto,4,67.3,104200.0
CNF0240,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,55.4,70600.0
CNF0241,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,2,78.0,193800.0
CNF0242,Female,Vice President — Banking,Grade 7,VP,5,Retail Banking,Vancouver,0,65.4,175200.0
CNF0243,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,0,62.7,158500.0
CNF0244,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,0,81.9,107400.0
CNF0245,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,10,70.4,71700.0
CNF0246,Female,Regional Director,Grade 6,Director,4,Retail Banking,Calgary,1,77.2,134000.0
CNF0247,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,1,56.3,84400.0
CNF0248,Female,Vice President — Banking,Grade 7,VP,5,Retail Banking,Toronto,6,50.3,176400.0
CNF0249,Male,Vice President — Banking,Grade 7,VP,5,Retail Banking,Toronto,1,71.5,203100.0
CNF0250,Female,Wealth Director,Grade 6,Director,4,Wealth Management,Toronto,3,65.5,152800.0
CNF0251,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,78.8,65500.0
CNF0252,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,16,68.9,106200.0
CNF0253,Female,Pension Director,Grade 6,Director,4,Pension Administration,Toronto,9,72.9,164000.0
CNF0254,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,9,47.3,100500.0
CNF0255,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,2,96.4,63900.0
CNF0256,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Vancouver,7,67.7,88100.0
CNF0257,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,0,79.8,200500.0
